noise_level,patient_id,parameter,truth,posterior_median,relative_bias,relative_ci90_width
optimistic,3559,a_pas_kpa,4.351809555198997,4.412234732930803,0.013885069409716524,0.46868999215778173
optimistic,3559,b_pas,17.90260705910623,17.502887520348285,-0.02232744859104904,0.30951744744868903
optimistic,3559,ca50_ref_um,0.7888353380840272,0.6950469405095157,-0.11889477188269819,0.31575931519390443
optimistic,3559,clearance_l_per_h,0.599342811536044,0.5742468721917486,-0.04187242903602603,1.4453417199498577
optimistic,3610,phi_baseline,0.3906062512286007,0.4254317099225805,0.0891574535339383,0.7210476014283923
optimistic,3610,a_pas_kpa,2.9583440102636813,3.9769320086145834,0.34431019341125035,0.8950185249907787
optimistic,3610,b_pas,19.739194240421057,15.843770609105125,-0.19734461213918522,0.3605150773898621
optimistic,3610,ca50_ref_um,0.6765360306948424,0.7048249752714056,0.04181439464134507,0.3634538130576407
optimistic,3610,clearance_l_per_h,0.6240338714327663,0.6081692151494993,-0.02542274868324406,1.3997380616294068
optimistic,3612,phi_baseline,0.3906062512286007,0.38284678164774744,-0.01986519559389252,0.6347980656000393
optimistic,3612,a_pas_kpa,2.9583440102636813,4.012552444781889,0.35635086077235645,0.8457198226619146
optimistic,3612,b_pas,19.739194240421057,16.363369372922943,-0.1710214118358108,0.3499958247645312
optimistic,3612,ca50_ref_um,0.6765360306948424,0.6959238009118125,0.028657409712617602,0.3703603748643299
optimistic,3612,clearance_l_per_h,0.6240338714327663,0.6051944369410138,-0.030189762694287154,1.3928986285219975
optimistic,3769,phi_baseline,0.5742857584916055,0.519317188689258,-0.09571640771090256,0.36917297827366274
optimistic,3769,a_pas_kpa,2.0252912620082495,3.1968608188228793,0.5784696644831807,2.0283184937689427
optimistic,3769,b_pas,14.634782975539563,9.831219921783138,-0.3282291962774614,0.6539679841571368
optimistic,3769,ca50_ref_um,0.5278874726966024,0.4958388190165346,-0.06071114648043075,0.19050169050950208
optimistic,3769,clearance_l_per_h,0.5682237351499498,0.5876759469841656,0.03423336730043926,1.5441642871071959
optimistic,3816,phi_baseline,0.4464379340223968,0.49863549898698667,0.11692009344790859,0.5896812340466758
optimistic,3816,a_pas_kpa,4.4432232022285465,4.685782075598496,0.054590746926306,0.37405612023339396
optimistic,3816,b_pas,18.62820635735989,18.546426036455728,-0.004390133936424383,0.20254519862134193
optimistic,3816,ca50_ref_um,0.6327072959858925,0.557014990116778,-0.11963242142035008,0.3577975255619692
optimistic,3816,clearance_l_per_h,1.0133147052302958,0.6211575375333848,-0.38700431926307194,0.8541852431782637
optimistic,3837,phi_baseline,0.351712178569287,0.3747034893446679,0.06536967491119061,0.5569259120805907
optimistic,3837,a_pas_kpa,2.1659840704873203,2.0664273766935963,-0.04596372390279165,1.6012469401239242
optimistic,3837,b_pas,9.2314557377249,10.761647629243807,0.16575846052813595,1.3132821778729646
optimistic,3837,ca50_ref_um,0.6715690829791129,0.7190383483049414,0.07068411356170919,0.2842859351598869
optimistic,3837,clearance_l_per_h,0.3215792953688651,0.6217250230443588,0.9333490432933932,2.7046129842150193
optimistic,3871,phi_baseline,0.4973461247421801,0.3451361107826837,-0.3060444354289495,0.38327630804373564
optimistic,3871,a_pas_kpa,2.630000593792647,3.1140717232178625,0.1840574221039056,1.2616295683484802
optimistic,3871,b_pas,15.168712958693504,14.099473165797978,-0.07048981649314703,0.6716794994068396
optimistic,3871,ca50_ref_um,0.7480526213999839,0.7393821614860556,-0.011590708548953983,0.21634549899742292
optimistic,3871,clearance_l_per_h,1.0618255763594062,0.6151242937991422,-0.42069177132823626,0.8192646551884316
optimistic,3917,phi_baseline,0.3989460050873458,0.42723739486565726,0.07091533545276964,0.7403384921751944
optimistic,3917,a_pas_kpa,1.233707506582141,2.0940826610692973,0.6973898998724071,2.5324301995682648
optimistic,3917,b_pas,13.285162137821317,9.26625494520697,-0.302510963052004,0.8960768069137901
optimistic,3917,ca50_ref_um,0.6364796271547676,0.672500573483843,0.05659402876742268,0.40478644499579775
optimistic,3917,clearance_l_per_h,0.1766629137843847,0.635199655405367,2.5955461267927564,4.9312560383901864
optimistic,3934,phi_baseline,0.4621543967165052,0.5401689014639195,0.16880615071865246,0.3996611945171605
optimistic,3934,a_pas_kpa,1.8470396301709116,3.3140359078339,0.7942419067246779,1.9073847636645855
optimistic,3934,b_pas,19.93911276385188,13.007762728603845,-0.3476258004726296,0.4980892134793463
optimistic,3934,ca50_ref_um,0.4788906457368284,0.48820695511711953,0.019453938938308015,0.20823858594114714
optimistic,3934,clearance_l_per_h,0.3098355842009187,0.616735830609936,0.9905261437304825,2.8335489847821034
optimistic,4144,phi_baseline,0.4255606870539486,0.37866720791000463,-0.11019222538758441,0.42980180253429284
optimistic,4144,a_pas_kpa,1.0633735763840375,0.6980057443120535,-0.3435931079972889,0.8078002815827534
optimistic,4144,b_pas,7.097422480583191,8.705526116029734,0.22657572377097754,0.9356540100341711
optimistic,4144,ca50_ref_um,0.7649679319001734,0.7341595769008458,-0.04027404772746484,0.21461434021641027
optimistic,4144,clearance_l_per_h,0.6895375410839916,0.5553160159867931,-0.194654412704194,1.2709872358628167
optimistic,4317,phi_baseline,0.4864645599760115,0.46403253109597925,-0.046112359924304513,0.601003236481369
optimistic,4317,a_pas_kpa,1.2685520310886202,3.016721318926912,1.378082447543033,3.411649910604655
optimistic,4317,b_pas,14.28327064588666,11.336824071970645,-0.20628654647558203,0.7712977995067121
optimistic,4317,ca50_ref_um,0.496981761790812,0.5164455176140463,0.03916392374862835,0.2350291415921945
optimistic,4317,clearance_l_per_h,0.2211386418156326,0.5987811831462307,1.707718462182859,3.954958420467046
optimistic,4353,phi_baseline,0.5613730513490737,0.49984424634184305,-0.10960413019357908,0.4028052647038705
optimistic,4353,a_pas_kpa,4.101119204144925,4.006286058762114,-0.02312372322339838,0.8060404430106688
optimistic,4353,b_pas,10.07672513090074,9.053327792376646,-0.10156050951373082,0.7182313076551645
optimistic,4353,ca50_ref_um,0.5429660751484334,0.5179886695250784,-0.046001779423377125,0.2752753679117189
optimistic,4353,clearance_l_per_h,0.8711980084236712,0.5743100073375996,-0.3407813128765698,0.9983552384508874
optimistic,4443,phi_baseline,0.539084834959358,0.5303437872255522,-0.016214605136248714,0.45573233628022536
optimistic,4443,a_pas_kpa,2.0423358649015424,1.8512183195694072,-0.09357792154394187,1.8988451111967826
optimistic,4443,b_pas,16.086634984239936,15.41383888943812,-0.041823295888851454,0.6787625030607957
optimistic,4443,ca50_ref_um,0.5897233964875341,0.5686078090485073,-0.035805917765504854,0.22297561905671748
optimistic,4443,clearance_l_per_h,0.8315949813928456,0.6242810506087253,-0.2492967555394435,1.0555729616701726
optimistic,4460,phi_baseline,0.465587314274162,0.5022128220318391,0.0786651754349779,0.5504010110292439
optimistic,4460,a_pas_kpa,4.227596429176629,3.814986366063046,-0.09759920797216283,0.662109289364006
optimistic,4460,b_pas,11.553436074405909,15.401648362109931,0.3330794633666506,0.6730279900454944
optimistic,4460,ca50_ref_um,0.4603434971533716,0.5308957756601398,0.15326007414689832,0.3976949167915361
optimistic,4460,clearance_l_per_h,0.5040684448741377,0.6268173397842358,0.24351632433715947,1.7350716275084042
optimistic,4462,phi_baseline,0.465587314274162,0.5410788712580019,0.16214264149685695,0.3875179567220748
optimistic,4462,a_pas_kpa,4.227596429176629,4.3058356964383755,0.01850679660948263,0.716495314612385
optimistic,4462,b_pas,11.553436074405909,11.137430216730865,-0.036007111217468316,0.5772581406591327
optimistic,4462,ca50_ref_um,0.4603434971533716,0.48100316346383337,0.04487880558368929,0.2083288691037971
optimistic,4462,clearance_l_per_h,0.5040684448741377,0.6015108699391531,0.19331189257313283,1.7418980942911162
optimistic,4494,phi_baseline,0.3196991604752839,0.32488079641924755,0.01620784970551789,0.43351090847552076
optimistic,4494,a_pas_kpa,5.329074042569846,5.014470599592791,-0.05903529214717824,0.2530320964655377
optimistic,4494,b_pas,19.627979388460517,18.7289578884908,-0.04580305910134898,0.1826642861731611
optimistic,4494,ca50_ref_um,0.6244768220465631,0.7323460501823522,0.17273535914795898,0.28154618055506386
optimistic,4494,clearance_l_per_h,0.7584266643412412,0.6143594871650491,-0.1899553166439986,1.1517042551485186
optimistic,4595,phi_baseline,0.376822561789304,0.48894565524508493,0.2975487797847764,0.7578918462969089
optimistic,4595,a_pas_kpa,2.2896135478280484,2.561235643109157,0.1186322886404879,1.5956095702647697
optimistic,4595,b_pas,8.060526002198458,10.33754326469693,0.2824899097003632,1.4724329096590967
optimistic,4595,ca50_ref_um,0.5625068714376539,0.6976850804774206,0.24031388042296897,0.39744408333845077
optimistic,4595,clearance_l_per_h,0.2963730696309358,0.6226117620786344,1.1007703663964934,2.9401666898635863
optimistic,4764,phi_baseline,0.3137957054190338,0.30090685717435034,-0.041074010963509044,0.20093294096265146
optimistic,4764,a_pas_kpa,3.482428745832294,3.6460448493436575,0.046983331304962496,0.9428576488695093
optimistic,4764,b_pas,13.410138439387085,13.209507164902464,-0.01496116355483286,0.7069380567756964
optimistic,4764,ca50_ref_um,0.743447879748419,0.773701073623815,0.04069309322078322,0.11230879297603437
optimistic,4764,clearance_l_per_h,0.5105845981091262,0.601609578179235,0.178276000504532,1.7131993134567836
optimistic,4864,phi_baseline,0.4590974531508982,0.5155317581854453,0.12292445677322886,0.545613179538826
optimistic,4864,a_pas_kpa,0.7282772905193269,0.7807183986342672,0.07200706214187332,1.6466831402875541
optimistic,4864,b_pas,8.872475937008858,8.654588024996997,-0.024557734904978118,0.8812933891819877
optimistic,4864,ca50_ref_um,0.6006208480335773,0.6131740154698375,0.0209003191903163,0.30536836263165645
optimistic,4864,clearance_l_per_h,0.4243562452495098,0.6124245064254787,0.44318485536931346,2.0528062620792675
realistic,20,phi_baseline,0.3867512782849371,0.5049159332967499,0.30553138837916277,0.6806815356610003
realistic,20,a_pas_kpa,1.5596089508384463,1.3017414747768115,-0.165341110618149,1.9786089543486278
realistic,20,b_pas,8.056183720007539,10.081734674364911,0.25142809855824355,1.452444168386081
realistic,20,ca50_ref_um,0.4925723560154438,0.5549766651850225,0.12669064434387817,0.3537830561139778
realistic,20,clearance_l_per_h,1.0458421013504269,0.6083161401863513,-0.41834800932103156,0.8338828901871604
realistic,137,phi_baseline,0.4979328468255699,0.5483264036256239,0.10120552825812539,0.3954422254056218
realistic,137,a_pas_kpa,4.073386278282851,2.7882675387038987,-0.31549149817451105,0.9617302570591318
realistic,137,b_pas,9.367073385044932,13.445575857027459,0.4354084039198506,1.1698428759523942
realistic,137,ca50_ref_um,0.4642824044916779,0.495639813415631,0.06753951608027219,0.3054334433120693
realistic,137,clearance_l_per_h,0.4011744030192494,0.6047412914689828,0.5074274104172238,2.1703383623324437
realistic,221,phi_baseline,0.5202198447473347,0.46704480172000984,-0.102216483212307,0.5780456059287642
realistic,221,a_pas_kpa,2.070633212476969,3.4922205280773464,0.6865471426973885,2.1177117654982136
realistic,221,b_pas,17.343064410611987,11.993495333754607,-0.3084558155468794,0.679953756707063
realistic,221,ca50_ref_um,0.6345564753748477,0.5796996105873273,-0.0864491450585468,0.3778321736986272
realistic,221,clearance_l_per_h,0.3616934844478965,0.6225251754177054,0.7211401426485546,2.4218302473816173
realistic,222,phi_baseline,0.5202198447473347,0.38279466632720793,-0.26416750496489183,0.5735178695492185
realistic,222,a_pas_kpa,2.070633212476969,3.5926727304531916,0.735059936643971,1.7772147177039075
realistic,222,b_pas,17.343064410611987,12.532189771883253,-0.2773947282225986,0.6128495467334857
realistic,222,ca50_ref_um,0.6345564753748477,0.5782649303247442,-0.08871006322463372,0.3912046764902123
realistic,222,clearance_l_per_h,0.3616934844478965,0.6055132641813195,0.6741060876603826,2.4100476614294744
realistic,436,phi_baseline,0.4855785038881004,0.5142889319484415,0.059126233617123373,0.5077191985452113
